name,category,serving_size_g,calories,sodium_mg,sugar_g,carbs_g,protein_g,fat_g,sample_count,source_dataset,method,serving_basis
개피떡(바람떡),빵 및 과자류,100.0,206.0,286.0,7.62,44.3,5.32,0.81,1,음식,분석,표시기준 1회 섭취참고량
갯가재류,어패류 및 기타 수산물,,87.0,,0.8,0.8,16.1,1.7,4,원재료성식품,분석,
갯강구,어패류 및 기타 수산물,,295.0,,,15.44,45.95,4.2,1,원재료성식품,분석,
갯기름나물,채소류,,47.0,5.0,0.0,9.67,3.71,0.41,10,원재료성식품,분석,
거위 부산물,육류,,133.0,140.0,,6.32,16.37,4.28,1,원재료성식품,수집,
거위고기,육류,,161.0,87.0,,0.0,22.75,7.13,2,원재료성식품,수집,
거위알,난류,,187.0,45.0,,1.0,12.7,13.6,2,원재료성식품,분석,
건갈치조림,조림류,74.6,96.0,1051.0,1.9,3.68,11.2,3.68,1,음식,산출,외식 레시피
건꼴뚜기조림,조림류,31.1,288.0,1038.0,1.55,10.14,29.4,13.55,1,음식,산출,외식 레시피
건새우 미역국,국 및 탕류,320.0,27.0,365.0,0.0,0.93,3.8,1.03,4,음식,산출,산업체 급식
건새우볶음,볶음류,20.0,304.0,1554.0,4.05,5.4,41.55,12.95,8,음식,분석,가정식 분석
건조과일(건과류),농산가공식품류,15.0,337.0,7.0,67.43,78.78,4.31,0.48,118,가공식품,수집,표시기준 1회 섭취참고량
건포도빵,빵 및 과자류,70.0,311.0,355.0,9.25,,7.53,,3,음식,수집,표시기준 1회 섭취참고량
검은비늘버섯,버섯류,,13.0,3.0,,4.5,1.8,0.1,2,원재료성식품,분석,
검정콩밥,밥류,300.0,121.0,1.0,0.35,24.31,3.2,0.8,6,음식,산출,산업체 급식
겉절이,생채·무침류,50.0,61.0,431.0,2.98,5.26,2.36,3.41,4,음식,분석,가정식 분석
게걸무,채소류,,59.0,18.0,,13.6,2.3,0.1,2,원재료성식품,분석,
게국지,국 및 탕류,250.0,38.0,368.0,0.98,2.88,4.08,1.1,1,음식,분석,표시기준 1회 섭취참고량
게류,어패류 및 기타 수산물,,85.0,418.0,0.41,0.43,16.19,0.7,74,원재료성식품,분석,
게르치류,어패류 및 기타 수산물,,158.0,,0.0,0.0,20.8,7.5,4,원재료성식품,분석,
게맛살튀김,튀김류,167.4,213.0,440.0,1.57,26.31,6.1,8.61,2,음식,산출,산업체 급식
게살죽,죽 및 스프류,250.0,71.0,182.0,0.02,13.42,2.24,0.89,1,음식,분석,표시기준 1회 섭취참고량
게장,젓갈류,,88.0,910.0,2.93,4.47,12.25,2.31,2,음식,분석,
게조림,조림류,132.0,21.0,164.0,0.1,0.31,4.2,0.18,2,음식,산출,산업체 급식
겨자,채소류,,24.0,43.0,0.0,3.57,3.54,0.27,3,원재료성식품,분석,
겨자채,생채·무침류,150.0,120.0,18.0,2.31,4.02,5.4,8.88,4,음식,산출,산업체 급식
